id,title,category,toxicity,expected_label,content,review,source_id
AI-OBF-005,Xúc phạm xen emoji,evasion,L2,1,,,AI-TOXIC-005
AI-OBF-006,Xúc phạm tách khoảng trắng,evasion,L2,1,,,AI-TOXIC-006
AI-OBF-007,Xúc phạm viết hoa xen kẽ,evasion,L2,1,,,AI-TOXIC-007
AI-OBF-008,Xúc phạm viết tắt,evasion,L2,1,,,AI-TOXIC-008
AI-OBF-009,Xúc phạm dùng ký tự tương tự,evasion,L2,1,,,AI-TOXIC-009
AI-OBF-010,Xúc phạm xen ngôn ngữ khác,evasion,L2,1,,,AI-TOXIC-010
AI-OBF-011,Đe dọa bỏ dấu,evasion,L3,1,,,AI-THREAT-001
AI-OBF-012,Đe dọa chèn ký tự,evasion,L3,1,,,AI-THREAT-003
AI-OBF-013,Đe dọa viết tắt,evasion,L3,1,,,AI-THREAT-004
AI-OBF-014,Đe dọa xen emoji,evasion,L3,1,,,AI-THREAT-012
AI-OBF-015,Đe dọa trộn chữ và số,evasion,L3,1,,,AI-THREAT-013
